#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
90        	4         	ok              	1.0000000000e-07	9.7210000000e+02	1.3696563280e+12	7.4508416537e+11	2.3617429975e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
91        	4         	ok              	7.7430000000e-08	1.0169000000e+03	1.0137986013e+12	5.5150225034e+11	2.3617327972e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
92        	4         	ok              	5.9950000000e-08	1.0873000000e+03	7.3408636692e+11	3.9935219547e+11	2.3616603818e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
93        	4         	ok              	4.6420000000e-08	1.1981000000e+03	5.1565498483e+11	2.8062628364e+11	2.3607893502e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
94        	4         	ok              	3.5940000000e-08	1.3873000000e+03	3.4156944480e+11	1.8763936884e+11	2.3387371385e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
95        	3         	ok              	2.7830000000e-08	1.7599000000e+03	1.3802543972e+11	1.1453586287e+11	1.5482604128e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
96        	4         	ok              	2.1540000000e-08	2.7642000000e+03	5.6455203186e+10	5.6440715837e+10	1.2851026624e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
97        	1         	ok              	1.6680000000e-08	4.2609000000e+03	2.8353781185e+10	2.8353781056e+10	1.2847728894e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
98        	1         	ok              	1.2920000000e-08	5.5574000000e+03	1.6838644723e+10	1.6838644722e+10	1.2847728837e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
99        	1         	ok              	1.0000000000e-08	6.0000000000e+03	1.2071605286e+10	1.2071605286e+10	1.2847728836e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
